Emotion,Text
sadness," We all know about that , but we have no choice . The chairman of the trade union says he is going to negotiate with the management . "
sadness,I had cared for a horse for 2 years. One day it was sold and I cried for several days because I was so sad.
sadness,"My grandfather died, when I was an exchange student in the USA."
sadness,"Last year, when I took the college entrance examinations I failed the FUVEST. It was for me the most frustrating situation because I had studied all year long, and only thought about this."
sadness,We got news that my (almost) 21 years old brother died while visiting Europe of a cerebral hemorrhage. It finally hit me an hour after we saw his corpse in the coffin. It felt like a door between himself and everything had closed and locked forever.
sadness,I was all of the sudden sad when I heard that my cousin who usually paid school fees had passed away after a very short illness.
sadness," That ’ s not all ! I also had to finish writing a sales report for my boss . In the end , I finished everything . I wonder what will be waiting for me tomorrow morning . "
sadness," It ’ s not really an occasion , it ’ s more like I ’ m sorry . "
sadness,"Queen Margaret came out of the church , a veil covering her grief-stricken face . "
sadness," No , he just stole all of my things . "
sadness,"His face was completely serious , even slightly mournful . "
sadness," Well , I'm afraid there is . I have some bad news for you about the results of the forensic tests ... there won't be any results . "
sadness,When the result of a project work was treated nonchalantly intead of being criticized by the teacher.
sadness, I'm embarrassed ! I forgot completely about them . I'm terribly sorry . 
sadness,"Sybil 's expression , which had become momentarily sad , softened into a tender smile that was wholly natural . "
sadness, Please forgive me . You have my word . I'll spend some time with you on the weekend . I promise . 
sadness,"It is also likely that by providing minimum standards of living , social services reduce public apathy and dejection and thus maintain the will to work . "
sadness,When I noticed that my parents were not in such a prosperity as most people in my surroundings.
sadness,Both Mr Pitman Senior and Junior were reps who grew progressively despondent over the standard of rooms and services they encountered on their travels . 
sadness, I feel life is meaningless without him . 
sadness,When I am at home alone.
sadness,When I was accused of neglecting work for the wrong reasons.
sadness, Much better . My heart sank when Mary told me that she wanted to leave me . 
sadness,"In spite of everything , Burun felt depressed by the whole affair and could not understand why . "
sadness,He was so miserable . 
sadness," well , I think I was being a little selfish myself . I know they don't get to see each other very often . "
sadness,At an irrevocable loss (with respect to human relations).
sadness,"By this time I was beginning to think that Eric was either dead or had chosen to forget me , and I felt very depressed . "
sadness," I'm sorry , I haven't decided yet . Do you mind giving me a couple of minutes ? "
sadness,When I couldn't go for a trip with my friends in a holiday.
sadness,"Segments in D major and B minor accord with episodes of the drama as this unfolds , but two isolated D minor movements underscore Dido 's anguish at being betrayed . "
sadness,Marriage crises.  Boredom.
sadness, B :: I'm such a fool that duplication of effort is only a waste time to me . 
sadness,"` Madam Speaker , I know that there will be great sadness at this news . "
sadness,"He had a narrow mournful face , tapering to a long pointed chin . "
sadness,"When I saw in the newspapers, on the T.V, and magazines the chaotic situation caused by the drought and hunger in Mauritania."
sadness, That ’ s the dumbest thing that I ’ Ve ever heard . 
sadness,"A black-haired woman with a long , sad face was inside . "
sadness,"It was mid May 1985, When we had a Test on Nursing. My classmate had an answer sheet, so he tried to peep. The Nursing Tutor caught him. During this time I was turning my question paper and it made noise. This friend blamed me of causing the whole matter for him to be caught."
sadness," I had to move it , so that I can get my bike through . "
sadness,"When I had to move away from home to study, and I knew that I would not be coming back home for a long time."
sadness,Both were crestfallen after Stevie 's erratic performance on the 17th . 
sadness,He was not inconsolable . 
sadness,At my grandfather's funeral - My grandparents virtually raised me as my mother was a solo-parent and had to work.
sadness,"When my little brother passed away mysteriously, at least from what I was told about it."
sadness, I feel so tired . 
sadness, The Redskin ’ s quarterback just threw a touchdown pass for seven points . We ’ re losing again . 
sadness, I ’ d better go tomorrow . 
sadness,When I saw my niece (5 yrs) crying in the hallway for her mother who had passed away about a month ago.
sadness,After the loss of a close relative.
